CCSR Category,CCSR Category Description,Clinical Domain,ICD-10-PCS Root Operations,ICD-10-PCS Body Parts,ICD-10-PCS Devices,ICD-10-PCS Approaches
IMG009,Plain radiography,Imaging,Plain Radiography,"Chest, ""Coronary Arteries, Multiple"", ""Heart, Left"", ""Lower Extremity Arteries, Right"", Aorta and Bilateral Lower Extremity Arteries, ""Lower Extremity Arteries, Left"", Gallbladder and Bile Ducts, Bile Ducts, Abdominal Aorta, Abdomen, ""Internal Carotid Arteries, Bilateral"", ""Common Carotid Arteries, Bilateral"", Intracranial Arteries, Thoracic Aorta, Dialysis Shunt/Fistula, ""Vertebral Arteries, Bilateral"", ""Hip, Right"", ""Knee, Left"", ""Femur, Right"", ""Hip, Left"", ""Knee, Right"", Pelvis, ""Hepatobiliary System, All"", ""Heart, Right and Left"", ""External Carotid Arteries, Bilateral"", ""Coronary Artery, Single"", ""Internal Carotid Artery, Right"", Lumbar Spine, ""Pulmonary Artery, Right"", Superior Mesenteric Artery, Inferior Vena Cava, ""Coronary Artery Bypass Grafts, Multiple"", Bladder and Urethra, ""Vertebral Artery, Left"", ""Internal Carotid Artery, Left"", ""Kidneys, Ureters and Bladder"", ""Pulmonary Artery, Left"", ""Common Carotid Artery, Right"", ""Subclavian Artery, Left"", Bladder, ""Lower Arteries, Other"", ""Common Carotid Artery, Left"", ""Shoulder, Right"", Lower Extremity, Cervico-Cerebral Arch, ""Intra-Abdominal Arteries, Other"", Pelvic Arteries, Cervical Spine, ""Abdominal/Retroperitoneal Lymphatics, Bilateral"", ""Upper Arteries, Other"", ""Lower Extremity Veins, Left"", ""Vertebral Artery, Right"", ""Brachiocephalic-Subclavian Artery, Right"", ""Internal Mammary Bypass Graft, Left"", ""Heart, Right"", Hepatic Artery, ""Shoulder, Left"", Superior Vena Cava, ""Foot, Left"", ""Ankle, Left"", ""Foot, Right"", ""Upper Extremity Arteries, Right"", ""Lymphatics, Pelvic"", Upper Airways, Inferior Mesenteric Artery, ""Upper Extremity Arteries, Left"", ""Lower Extremity Veins, Right"", ""Coronary Artery Bypass Graft, Single"", ""Upper Extremity Veins, Left"", ""Kidney, Right"", ""Ankle, Right"", ""External Carotid Artery, Right"", Upper Extremity, ""Renal Arteries, Bilateral"", ""Kidney, Left"", ""Hand, Right"", Cerebral and Cerebellar Veins, ""External Carotid Artery, Left"", ""Veins, Other"", ""Wrist, Right"", ""Upper Extremity Veins, Right"", ""Hand, Left"", ""Subclavian Vein, Right"", ""Renal Artery, Right"", Abdomen and Pelvis, Splenic Arteries, ""Lower Leg, Left"", ""Subclavian Vein, Left"", ""Elbow, Left"", ""Lower Leg, Right"", ""Elbow, Right"", ""Breasts, Bilateral"", ""Femur, Left"", ""Lower Extremity Veins, Bilateral"", ""Wrist, Left"", ""Humerus, Right"", ""Renal Artery, Left"", Spinal Cord, ""Abdominal/Retroperitoneal Lymphatics, Unilateral"", Skull, ""Forearm, Right"", ""Forearm, Left"", ""Kidneys, Bilateral"", ""Jugular Veins, Right"", Thoracic Spine, Thoraco-Abdominal Aorta, ""Lymphatics, Head and Neck"", Portal and Splanchnic Veins, ""Pelvic (Iliac) Veins, Left"", ""Lower Extremity Lymphatics, Bilateral"", ""Upper Extremity Veins, Bilateral"", Intercostal and Bronchial Arteries, Intracranial Sinuses, ""Humerus, Left"", Whole Skeleton, Whole Spine, Spinal Arteries, ""Clavicle, Right"", ""Pelvic (Iliac) Veins, Right"", ""Upper Extremity Arteries, Bilateral"", Ileal Diversion Loop, ""Ribs, Left"", ""Bypass Graft, Other"", ""Ureters, Bilateral"", ""Teeth, Multiple"", ""Clavicle, Left"", ""Breast, Left"", ""Jugular Veins, Bilateral"", ""Ureter, Left"", ""Pelvic (Iliac) Veins, Bilateral"", Lumbosacral Joint, ""Breast, Right"", ""Upper Extremity Lymphatics, Right"", ""Renal Veins, Bilateral"", ""Lower Extremity Lymphatics, Right"", ""Toe(s), Left"", ""Toe(s), Right"", Nasopharynx/Oropharynx, ""Hand/Finger Joint, Right"", Lumbar Arteries, ""Ribs, Right"", ""Upper Extremity Lymphatics, Left"", ""Pulmonary Veins, Bilateral"", ""Tooth, Single"", ""Ureter, Right"", ""Pulmonary Vein, Left"", Mandible, Sacrum and Coccyx, ""Renal Vein, Right"", ""Finger(s), Right"", ""Lower Extremity Lymphatics, Left"", ""Internal Mammary Bypass Graft, Right"", ""Jugular Veins, Left"", ""Upper Extremity Lymphatics, Bilateral"", Thoracolumbar Joint, ""Hand/Finger Joint, Left"", ""Calcaneus, Left"", ""Calcaneus, Right"", ""Finger(s), Left"", ""Orbits, Bilateral"", ""Patella, Right"", Urethra, ""Renal Vein, Left"", Renal Artery Transplant, Sacroiliac Joints, ""Scapula, Left"", ""Salivary Gland, Right"", ""Pulmonary Vein, Right"", ""Scapula, Right"", ""Teeth, All"", Whole Body, ""Multiple Mammary Ducts, Right"", ""Foot/Toe Joint, Left"", ""Upper Arm, Left"", Cervical Facet Joint(s), Paranasal Sinuses",None,"None, Low Osmolar, Other Contrast, High Osmolar"
IMG010,Fluorescence imaging,Imaging,Other Imaging,"Bile Ducts, Gallbladder and Bile Ducts, Gallbladder, ""Hepatobiliary System, All"", Liver, Trunk","Indocyanine Green Dye, None, Bacterial Autofluorescence","Fluorescing Agent, None"
LYM001,Lymph node biopsy,Lymphatic and Hemic System Procedures,"Excision, Extraction, Drainage","""Lymphatic, Thorax"", ""Lymphatic, Pelvis"", ""Lymphatic, Aortic"", ""Lymphatic, Left Axillary"", ""Lymphatic, Right Axillary"", ""Lymphatic, Left Neck"", ""Lymphatic, Right Neck"", ""Lymphatic, Mesenteric"", ""Lymphatic, Right Inguinal"", ""Lymphatic, Left Inguinal"", ""Lymphatic, Internal Mammary, Left"", ""Lymphatic, Internal Mammary, Right"", ""Lymphatic, Head"", ""Lymphatic, Right Lower Extremity"", ""Lymphatic, Left Lower Extremity"", ""Lymphatic, Right Upper Extremity"", Thoracic Duct, ""Lymphatic, Left Upper Extremity"", Cisterna Chyli",No Device,"Open, Percutaneous Endoscopic, Percutaneous, Via Natural or Artificial Opening Endoscopic"
LYM002,Lymph node excision (therapeutic),Lymphatic and Hemic System Procedures,"Excision, Destruction","""Lymphatic, Pelvis"", ""Lymphatic, Thorax"", ""Lymphatic, Aortic"", ""Lymphatic, Mesenteric"", ""Lymphatic, Right Neck"", ""Lymphatic, Left Neck"", ""Lymphatic, Left Axillary"", ""Lymphatic, Right Axillary"", ""Lymphatic, Left Inguinal"", ""Lymphatic, Right Inguinal"", ""Lymphatic, Head"", ""Lymphatic, Internal Mammary, Left"", ""Lymphatic, Internal Mammary, Right"", ""Lymphatic, Left Lower Extremity"", ""Lymphatic, Right Lower Extremity"", ""Lymphatic, Right Upper Extremity"", Thoracic Duct, Cisterna Chyli, ""Lymphatic, Left Upper Extremity""",No Device,"Open, Percutaneous Endoscopic, Percutaneous"
LYM003,Lymph node dissection,Lymphatic and Hemic System Procedures,Resection,"""Lymphatic, Left Neck"", ""Lymphatic, Right Neck"", ""Lymphatic, Pelvis"", ""Lymphatic, Thorax"", ""Lymphatic, Aortic"", ""Lymphatic, Mesenteric"", ""Lymphatic, Right Axillary"", ""Lymphatic, Left Axillary"", ""Lymphatic, Left Inguinal"", ""Lymphatic, Right Inguinal"", ""Lymphatic, Head"", ""Lymphatic, Internal Mammary, Left"", ""Lymphatic, Internal Mammary, Right"", ""Lymphatic, Right Lower Extremity"", ""Lymphatic, Left Lower Extremity"", ""Lymphatic, Right Upper Extremity"", Cisterna Chyli, Thoracic Duct",No Device,"Open, Percutaneous Endoscopic"
LYM004,Thymectomy,Lymphatic and Hemic System Procedures,"Resection, Excision, Extraction",Thymus,No Device,"Open, Percutaneous Endoscopic, Percutaneous"
LYM005,Splenectomy,Lymphatic and Hemic System Procedures,Resection,Spleen,No Device,"Open, Percutaneous Endoscopic"
LYM006,Spleen procedures (excluding splenectomy),Lymphatic and Hemic System Procedures,"Excision, Drainage, Repair, Release, Inspection, Destruction, Extirpation, Extraction, Reposition, Change, Removal",Spleen,"No Device, Drainage Device","Open, Percutaneous, Percutaneous Endoscopic, External"
LYM007,Bone marrow biopsy,Lymphatic and Hemic System Procedures,"Extraction, Drainage, Inspection","""Bone Marrow, Iliac"", Bone Marrow, ""Bone Marrow, Vertebral"", ""Bone Marrow, Sternum""",No Device,"Percutaneous, Open"
LYM008,Bone marrow aspiration (therapeutic),Lymphatic and Hemic System Procedures,"Extraction, Drainage, Insertion","""Bone Marrow, Iliac"", ""Bone Marrow, Vertebral"", Bone Marrow, ""Bone Marrow, Sternum""","No Device, Infusion Device, Drainage Device, Other Device","Percutaneous, Open"
LYM009,Thymus transplant,Lymphatic and Hemic System Procedures,Transplantation,Thymus,No Device,Open
LYM010,Spleen transplant,Lymphatic and Hemic System Procedures,,,,
LYM011,"Lymphatic procedures, NEC",Lymphatic and Hemic System Procedures,"Occlusion, Drainage, Repair, Inspection, Supplement, Restriction, Extirpation, Release, Removal, Change, Insertion","Thoracic Duct, Lymphatic, ""Lymphatic, Left Neck"", ""Lymphatic, Right Neck"", ""Lymphatic, Thorax"", ""Lymphatic, Pelvis"", ""Lymphatic, Right Inguinal"", ""Lymphatic, Right Lower Extremity"", ""Lymphatic, Right Axillary"", ""Lymphatic, Left Lower Extremity"", ""Lymphatic, Left Axillary"", ""Lymphatic, Left Inguinal"", ""Lymphatic, Aortic"", ""Lymphatic, Right Upper Extremity"", ""Lymphatic, Left Upper Extremity"", Cisterna Chyli, ""Lymphatic, Mesenteric"", ""Lymphatic, Head"", ""Lymphatic, Internal Mammary, Left""","No Device, Intraluminal Device, Drainage Device, Extraluminal Device, Autologous Tissue Substitute, Synthetic Substitute, Other Device","Open, Percutaneous, Percutaneous Endoscopic, Via Natural or Artificial Opening Endoscopic, External"
MAM001,Arterial oxygen saturation monitoring,Measurement and Monitoring,"Measurement, Monitoring",Arterial,Saturation,"Percutaneous, External"
MAM002,Peripheral arterial pressure monitoring,Measurement and Monitoring,Monitoring,Arterial,"Pressure, Pulse, Flow",Percutaneous
MAM003,Pulmonary arterial pressure monitoring,Measurement and Monitoring,Monitoring,Arterial,Pressure,Percutaneous
MAM004,Cardiac stress tests,Measurement and Monitoring,"Measurement, Monitoring",Cardiac,Total Activity,External
MAM005,Measurement during cardiac catheterization,Measurement and Monitoring,"Measurement, Monitoring","Cardiac, Arterial","Sampling and Pressure, Pressure, Flow","Percutaneous, Open, Via Natural or Artificial Opening, Via Natural or Artificial Opening Endoscopic"
MAM006,Pacemaker and defibrillator interrogation,Measurement and Monitoring,Measurement,Cardiac,"Pacemaker, Defibrillator",External
MAM007,Electrocardiogram (ECG),Measurement and Monitoring,Measurement,Cardiac,"Electrical Activity, Rhythm, Action Currents","External, Via Natural or Artificial Opening, Via Natural or Artificial Opening Endoscopic, Open"
MAM008,Cardiac monitoring,Measurement and Monitoring,Monitoring,Cardiac,"Output, Electrical Activity, Rhythm, Rate, Sound","Percutaneous, External, Open"
MAM009,Electrophysiologic studies,Measurement and Monitoring,Measurement,Cardiac,"Electrical Activity, Rhythm",Percutaneous
MAM010,Other cardiovascular system measurement and monitoring,Measurement and Monitoring,"Measurement, Monitoring","Arterial, Venous, Cardiac, Circulatory","Pressure, Flow, Pulse, Rate, Saturation, Output, Vascular Perfusion, Sound, Volume","Percutaneous, External, Open"
MAM011,Electroencephalogram (EEG),Measurement and Monitoring,"Monitoring, Measurement",Central Nervous,Electrical Activity,"External, Percutaneous, Open, Via Natural or Artificial Opening, Via Natural or Artificial Opening Endoscopic"
MAM012,ICP and other CNS monitoring (excluding EEG),Measurement and Monitoring,"Monitoring, Measurement",Central Nervous,"Pressure, Stimulator, Conductivity, Saturation, Temperature","Percutaneous, External, Via Natural or Artificial Opening, Open, Via Natural or Artificial Opening Endoscopic"
MAM013,Monitoring of peripheral nerves,Measurement and Monitoring,"Monitoring, Measurement",Peripheral Nervous,"Electrical Activity, Conductivity, Stimulator","External, Percutaneous, Open, Via Natural or Artificial Opening, Via Natural or Artificial Opening Endoscopic"
MAM014,Pulmonary function tests,Measurement and Monitoring,"Measurement, Monitoring",Respiratory,"Capacity, Flow, Volume, Total Activity, Pacemaker, Rate, ""Infection, Lower Respiratory Fluid Nucleic Acid-base Microbial Detection"", Resistance","External, Via Natural or Artificial Opening, Via Natural or Artificial Opening Endoscopic"
MAM015,"Measurement and monitoring, NEC",Measurement and Monitoring,"Monitoring, Measurement","Gastrointestinal, Urinary, None, Skin and Breast, Lymphatic, Musculoskeletal, Visual, Biliary, Circulatory, Kidney, Olfactory","Vascular Perfusion, Volume, Flow, Pressure, Contractility, Sleep, Metabolism, Temperature, Motility, Secretion, Acuity, Stimulator, Mobility, ""Infection, Whole Blood Nucleic Acid-base Microbial Detection"", Resistance, Fluorescent Pyrazine","External, Via Natural or Artificial Opening, Percutaneous, Via Natural or Artificial Opening Endoscopic, Open, Percutaneous Endoscopic"
MHT001,Pharmacotherapy for mental health (excluding substance use),Mental Health Therapy,Medication Management,None,None,None
MHT002,Psychotherapy for mental health (excluding substance use),Mental Health Therapy,"Group Psychotherapy, Individual Psychotherapy, Family Psychotherapy","None, Supportive, Behavioral, Cognitive-Behavioral, Psychoanalysis, Psychophysiological, Interpersonal, Other Family Psychotherapy, Interactive, Cognitive, Psychodynamic",None,None
MHT003,Electroconvulsive therapy,Mental Health Therapy,Electroconvulsive Therapy,"Bilateral-Single Seizure, Unilateral-Single Seizure, Other Electroconvulsive Therapy, Bilateral-Multiple Seizure, Unilateral-Multiple Seizure",None,None
MHT004,Crisis intervention for mental health,Mental Health Therapy,Crisis Intervention,None,None,None
MHT005,"Mental health procedures, NEC",Mental Health Therapy,"Psychological Tests, Counseling, Light Therapy","Neurobehavioral and Cognitive Status, Personality and Behavioral, Other Counseling, Educational, Neuropsychological, Developmental, Intellectual and Psychoeducational, Vocational, None",None,None
MRS001,Circumcision,Male Reproductive System Procedures,Resection,Prepuce,No Device,"External, Open"
MRS002,Penis procedures (excluding circumcision),Male Reproductive System Procedures,"Excision, Repair, Release, Removal, Supplement, Drainage, Resection, Inspection, Extirpation, Transfer, Revision, Other Procedures, Destruction, Reattachment, Insertion, Change","Penis, Prepuce, Male Reproductive System","No Device, Synthetic Substitute, Autologous Tissue Substitute, Drainage Device, Other Device, Collection, Nonautologous Tissue Substitute","Open, External, Percutaneous, Percutaneous Endoscopic, Via Natural or Artificial Opening Endoscopic, Via Natural or Artificial Opening"
MRS003,Prostatectomy,Male Reproductive System Procedures,Resection,Prostate,No Device,"Percutaneous Endoscopic, Open, Via Natural or Artificial Opening Endoscopic, Via Natural or Artificial Opening"
MRS004,Prostate and seminal vesicle procedures (excluding prostatectomy),Male Reproductive System Procedures,"Excision, Resection, Destruction, Drainage, Extirpation, Inspection, Release, Repair, Removal, Change, Insertion","Prostate, ""Seminal Vesicles, Bilateral"", ""Seminal Vesicle, Left"", ""Seminal Vesicle, Right"", Prostate and Seminal Vesicles","No Device, Drainage Device, Robotic Waterjet Ablation, Other Device","Via Natural or Artificial Opening Endoscopic, Percutaneous Endoscopic, Open, Percutaneous, Via Natural or Artificial Opening, External"
MRS005,Male perineum procedures,Male Reproductive System Procedures,"Drainage, Creation, Excision, Repair, Inspection, Supplement, Removal, Change, Insertion","""Perineum, Male""","No Device, Autologous Tissue Substitute, Drainage Device, Synthetic Substitute, Other Device, Nonautologous Tissue Substitute","Open, Percutaneous, External, Percutaneous Endoscopic"
MRS006,Male reproductive system transplant,Male Reproductive System Procedures,,,,
MRS007,"Male reproductive system procedures, NEC",Male Reproductive System Procedures,"Excision, Drainage, Resection, Reposition, Repair, Inspection, Extirpation, Release, Supplement, Occlusion, Destruction, Removal, Replacement, Reattachment, Dilation, Insertion, Change","Scrotum, ""Vas Deferens, Bilateral"", ""Testis, Right"", ""Testis, Left"", ""Testes, Bilateral"", ""Spermatic Cord, Right"", Scrotum and Tunica Vaginalis, ""Spermatic Cord, Left"", ""Tunica Vaginalis, Right"", ""Tunica Vaginalis, Left"", ""Spermatic Cords, Bilateral"", ""Vas Deferens, Right"", ""Epididymis, Right"", ""Epididymis, Left"", ""Vas Deferens, Left"", Testis, ""Epididymis, Bilateral"", Epididymis and Spermatic Cord","No Device, Drainage Device, Synthetic Substitute, Autologous Tissue Substitute, Other Device, Nonautologous Tissue Substitute, Extraluminal Device, Intraluminal Device","Open, Percutaneous Endoscopic, External, Percutaneous, Via Natural or Artificial Opening Endoscopic"
MST001,Arthrocentesis,"Musculoskeletal, Subcutaneous Tissue, and Fascia Procedures",Drainage,"""Knee Joint, Right"", ""Knee Joint, Left"", ""Hip Joint, Right"", ""Hip Joint, Left"", ""Shoulder Joint, Right"", ""Shoulder Joint, Left"", ""Ankle Joint, Right"", ""Ankle Joint, Left"", ""Elbow Joint, Left"", ""Elbow Joint, Right"", ""Wrist Joint, Left"", ""Wrist Joint, Right"", Lumbar Vertebral Disc, Lumbar Vertebral Joint, Thoracic Vertebral Disc, ""Metatarsal-Phalangeal Joint, Left"", ""Metatarsal-Phalangeal Joint, Right"", Thoracic Vertebral Joint, Lumbosacral Disc, ""Sacroiliac Joint, Left"", ""Sternoclavicular Joint, Right"", ""Sacroiliac Joint, Right"", ""Sternoclavicular Joint, Left"", Lumbosacral Joint, ""Acromioclavicular Joint, Right"", ""Finger Phalangeal Joint, Left"", ""Finger Phalangeal Joint, Right"", ""Acromioclavicular Joint, Left"", Thoracolumbar Vertebral Disc, ""Metacarpophalangeal Joint, Right"", ""Toe Phalangeal Joint, Left"", Cervical Vertebral Joint, ""Tarsal Joint, Right"", Thoracolumbar Vertebral Joint, ""Toe Phalangeal Joint, Right"", ""Carpal Joint, Right"", ""Metacarpophalangeal Joint, Left"", ""Temporomandibular Joint, Left"", Cervical Vertebral Disc, ""Carpometacarpal Joint, Right"", ""Tarsal Joint, Left"", Cervicothoracic Vertebral Joint, ""Carpal Joint, Left"", ""Carpometacarpal Joint, Left"", ""Tarsometatarsal Joint, Right"", Sacrococcygeal Joint, ""Temporomandibular Joint, Right""","No Device, Drainage Device",Percutaneous
MST002,Bone and joint biopsy,"Musculoskeletal, Subcutaneous Tissue, and Fascia Procedures","Excision, Drainage, Inspection","Lumbar Vertebra, Thoracic Vertebra, ""Metatarsal, Right"", ""Metatarsal, Left"", ""Pelvic Bone, Right"", ""Pelvic Bone, Left"", ""Tarsal, Right"", ""Tarsal, Left"", ""Toe Phalanx, Right"", ""Knee Joint, Left"", ""Knee Joint, Right"", Sacrum, ""Toe Phalanx, Left"", ""Upper Femur, Right"", ""Upper Femur, Left"", ""Tibia, Left"", ""Tibia, Right"", ""Hip Joint, Right"", ""Hip Joint, Left"", ""Ribs, 1 to 2"", Lumbar Vertebral Disc, ""Shoulder Joint, Right"", ""Lower Femur, Left"", Sternum, Lumbar Vertebral Joint, ""Fibula, Right"", ""Lower Femur, Right"", ""Shoulder Joint, Left"", Skull, Cervical Vertebra, ""Mandible, Right"", Lower Bone, ""Fibula, Left"", ""Mandible, Left"", Coccyx, ""Femoral Shaft, Left"", ""Humeral Shaft, Right"", ""Ankle Joint, Right"", ""Ankle Joint, Left"", ""Humeral Shaft, Left"", ""Femoral Shaft, Right"", Thoracic Vertebral Disc, ""Humeral Head, Right"", ""Wrist Joint, Left"", ""Elbow Joint, Left"", ""Acetabulum, Left"", Lumbosacral Disc, ""Finger Phalanx, Right"", ""Elbow Joint, Right"", ""Wrist Joint, Right"", Upper Bone, Lumbosacral Joint, Cervical Vertebral Joint, ""Humeral Head, Left"", ""Finger Phalanx, Left"", ""Finger Phalangeal Joint, Right"", ""Acetabulum, Right"", ""Clavicle, Left"", Maxilla, ""Orbit, Left"", Thoracic Vertebral Joint, ""Scapula, Right"", ""Metatarsal-Phalangeal Joint, Right"", Frontal Bone, ""Clavicle, Right"", ""Scapula, Left"", Thoracolumbar Vertebral Disc, ""Orbit, Right"", ""Finger Phalangeal Joint, Left"", ""Metatarsal-Phalangeal Joint, Left"", ""Ulna, Right"", ""Ulna, Left"", Sphenoid Bone, ""Patella, Left"", ""Metacarpophalangeal Joint, Left"", ""Patella, Right"", ""Metacarpal, Right"", ""Thumb Phalanx, Right"", ""Sternoclavicular Joint, Right"", ""Sternoclavicular Joint, Left"", ""Radius, Right"", ""Metacarpophalangeal Joint, Right"", Occipital Bone, ""Sacroiliac Joint, Right"", ""Temporal Bone, Right"", Facial Bone, Cervical Vertebral Disc, ""Temporal Bone, Left"", Thoracolumbar Vertebral Joint, ""Toe Phalangeal Joint, Left"", ""Radius, Left"", ""Metacarpal, Left"", ""Parietal Bone, Right"", ""Sacroiliac Joint, Left"", ""Toe Phalangeal Joint, Right"", ""Carpal, Right"", ""Parietal Bone, Left"", ""Acromioclavicular Joint, Left"", ""Thumb Phalanx, Left"", ""Tarsal Joint, Left"", ""Ribs, 3 or More"", ""Acromioclavicular Joint, Right"", Hyoid Bone, Nasal Bone, ""Tarsal Joint, Right"", ""Carpal, Left"", ""Glenoid Cavity, Right"", ""Ethmoid Bone, Left"", ""Temporomandibular Joint, Left"", ""Carpometacarpal Joint, Left"", ""Carpal Joint, Left"", ""Carpometacarpal Joint, Right"", ""Tarsometatarsal Joint, Left"", ""Palatine Bone, Left"", Sacrococcygeal Joint, Cervicothoracic Vertebral Disc, ""Temporomandibular Joint, Right"", ""Ethmoid Bone, Right"", ""Glenoid Cavity, Left"", ""Carpal Joint, Right"", ""Zygomatic Bone, Right"", Cervicothoracic Vertebral Joint, ""Zygomatic Bone, Left"", ""Palatine Bone, Right"", Coccygeal Joint, Occipital-cervical Joint",No Device,"Open, Percutaneous, Percutaneous Endoscopic, External"
MST003,"Subcutaneous tissue, fascia, and muscle biopsy","Musculoskeletal, Subcutaneous Tissue, and Fascia Procedures","Drainage, Excision, Inspection, Other Procedures","""Subcutaneous Tissue and Fascia, Abdomen"", ""Subcutaneous Tissue and Fascia, Back"", ""Subcutaneous Tissue and Fascia, Right Foot"", ""Subcutaneous Tissue and Fascia, Left Neck"", ""Subcutaneous Tissue and Fascia, Left Foot"", ""Subcutaneous Tissue and Fascia, Right Upper Leg"", ""Subcutaneous Tissue and Fascia, Right Neck"", ""Subcutaneous Tissue and Fascia, Left Upper Leg"", ""Subcutaneous Tissue and Fascia, Pelvic Region"", ""Subcutaneous Tissue and Fascia, Right Lower Leg"", ""Subcutaneous Tissue and Fascia, Left Lower Leg"", ""Subcutaneous Tissue and Fascia, Buttock"", ""Subcutaneous Tissue and Fascia, Face"", ""Upper Leg Muscle, Left"", ""Subcutaneous Tissue and Fascia, Chest"", ""Upper Leg Muscle, Right"", Musculoskeletal System, ""Hip Muscle, Left"", ""Subcutaneous Tissue and Fascia, Right Hand"", ""Inguinal Region, Right"", ""Hip Muscle, Right"", ""Subcutaneous Tissue and Fascia, Trunk"", ""Subcutaneous Tissue and Fascia, Left Upper Arm"", ""Subcutaneous Tissue and Fascia, Right Lower Arm"", ""Foot, Left"", ""Inguinal Region, Left"", ""Subcutaneous Tissue and Fascia, Left Lower Arm"", Lower Back, ""Subcutaneous Tissue and Fascia, Right Upper Arm"", ""Foot, Right"", ""Subcutaneous Tissue and Fascia, Lower Extremity"", ""Subcutaneous Tissue and Fascia, Left Hand"", ""Subcutaneous Tissue and Fascia, Perineum"", ""Trunk Muscle, Left"", ""Upper Leg, Left"", ""Trunk Muscle, Right"", ""Subcutaneous Tissue and Fascia, Scalp"", Lower Muscle, ""Lower Leg, Right"", ""Axilla, Right"", ""Subcutaneous Tissue and Fascia, Upper Extremity"", ""Lower Leg Muscle, Left"", ""Lower Leg Muscle, Right"", ""Femoral Region, Right"", ""Axilla, Left"", ""Lower Leg, Left"", ""Upper Arm Muscle, Left"", ""Knee Bursa and Ligament, Right"", ""Upper Leg, Right"", ""Hand Tendon, Right"", ""Elbow Bursa and Ligament, Right"", ""Hand, Right"", ""Elbow Bursa and Ligament, Left"", ""Subcutaneous Tissue and Fascia, Head and Neck"", ""Upper Arm Muscle, Right"", Upper Back, ""Shoulder Muscle, Left"", ""Hand, Left"", ""Hand Tendon, Left"", ""Buttock, Right"", ""Neck Muscle, Left"", ""Femoral Region, Left"", ""Upper Arm, Left"", Upper Tendon, ""Knee Bursa and Ligament, Left"", ""Neck Muscle, Right"", ""Buttock, Left"", Upper Muscle, ""Abdomen Muscle, Right"", ""Knee Region, Right"", ""Shoulder Muscle, Right"", ""Lower Extremity, Left"", ""Knee Region, Left"", ""Abdomen Muscle, Left"", ""Lower Extremity, Right"", ""Lower Arm, Left"", ""Ankle Region, Right"", ""Thorax Muscle, Left"", ""Lower Arm, Right"", ""Inguinal Region, Bilateral"", ""Upper Arm, Right"", ""Shoulder Region, Left"", ""Lower Arm and Wrist Muscle, Right"", ""Shoulder Region, Right"", ""Thorax Muscle, Right"", ""Ankle Region, Left"", Facial Muscle, Head Muscle, ""Elbow Region, Left"", ""Foot Tendon, Right"", ""Elbow Region, Right"", ""Upper Extremity, Right"", ""Wrist Region, Left"", ""Hip Bursa and Ligament, Right"", ""Wrist Region, Right"", ""Foot Muscle, Left"", ""Upper Extremity, Left"", ""Lower Arm and Wrist Muscle, Left"", ""Shoulder Bursa and Ligament, Left"", ""Foot Tendon, Left"", ""Foot Muscle, Right"", ""Shoulder Bursa and Ligament, Right"", ""Abdomen Bursa and Ligament, Right"", ""Lower Arm and Wrist Tendon, Right"", ""Abdomen Bursa and Ligament, Left"", ""Lower Leg Tendon, Left"", ""Hip Bursa and Ligament, Left"", Lower Bursa and Ligament, ""Ankle Tendon, Left"", Lower Tendon, Perineum Muscle, ""Hand Muscle, Left"", ""Femoral Region, Bilateral"", ""Lower Leg Tendon, Right"", Upper Spine Bursa and Ligament, ""Upper Extremity Bursa and Ligament, Left"", ""Foot Bursa and Ligament, Right"", Lower Spine Bursa and Ligament, ""Hand Muscle, Right"", ""Ankle Tendon, Right"", ""Upper Extremity Bursa and Ligament, Right"", Upper Bursa and Ligament, ""Knee Tendon, Right"", ""Wrist Bursa and Ligament, Left"", ""Hand Bursa and Ligament, Right"", ""Lower Extremity Bursa and Ligament, Right"", ""Knee Tendon, Left"", ""Hip Tendon, Left"", ""Trunk Tendon, Right"", ""Lower Arm and Wrist Tendon, Left"", ""Upper Arm Tendon, Right"", ""Upper Leg Tendon, Left"", ""Upper Arm Tendon, Left"", ""Lower Extremity Bursa and Ligament, Left"", ""Shoulder Tendon, Right"", ""Abdomen Tendon, Right"", ""Foot Bursa and Ligament, Left"", Perineum Bursa and Ligament, Sternum Bursa and Ligament, ""Wrist Bursa and Ligament, Right"", ""Ankle Bursa and Ligament, Left"", ""Hip Tendon, Right"", ""Hand Bursa and Ligament, Left"", Head and Neck Bursa and Ligament, ""Ankle Bursa and Ligament, Right"", Rib(s) Bursa and Ligament, ""Thorax Tendon, Left"", ""Thorax Tendon, Right""","No Device, Other Method","Open, Percutaneous, External, Percutaneous Endoscopic"
